,RID,ID_da_resposta,setor,setor_id,min_orgao_limpo,ORG_EXERCICIO,min_cod_limpo,QA1,QA2,faixa_etaria,idade,QA4,QB1,QB2,QB3,QB4,QB5,QB6,QB7,QB8,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,QC9,QC10,QC11,QC12,QC13,QD1,QD2,QD3,QD4,QD5,QD6,QE1,QE2,QE3,QE4,QE5,QE6,QE7,QE8,QE9,QE10,QE11,QE12,QE13,QF1,QF2,QF3,QF4,QF5,QF6,QF7,QF8,QF9,QF10,QF11,QG1,QG2,QG3,QG4,QG5,QG6,QG7,QH1,QH2,QH3,QH4,QH5,QI1,QI2,QI2_O,QI3,QI4,QI4_O,QI5,QI6,QI7,QI8,QI9,QI10,QJ1,QJ2,QJ3,QJ4,peso_orgao,aut_2011,cap_2011,part_dom_2011,per_disc_executed_2011,bud_paid_2011,emp_2011,aut1_2017,aut2_2017,aut3_2017,part_dom_2017,pct_respondidos,mean_Aut1_2018,
1,1,415,,NA,Eu não sei/não quero responder,NA,,1,4,1,30,2,3,2,5,2,3,1,3,4,3,3,4,3,4,1,5,3,2,3,2,4,4,1,3,5,3,1,3,3,4,1,1,1,3,3,3,3,1,3,1,3,4,1,1,1,1,1,1,1,1,1,4,3,2,2,2,2,2,3,4,3,2,2,1,1,3,,2,-oth-,Conselho de Classe,0,3,Conselho,0,#NU,0,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,2,427,,NA,Eu não sei/não quero responder,NA,,1,4,1,27,2,4,2,3,1,2,4,2,4,3,4,4,2,2,2,3,NA,NA,2,NA,4,4,2,NA,2,NA,NA,NA,NA,NA,2,2,2,4,4,NA,NA,5,NA,NA,NA,1,1,5,5,5,1,1,3,1,1,4,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,1,2,,3,NA,,1,NA,Eu nÃ£o sei/Eu nÃ£o quero responder,1,2,0,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,3,1024,,NA,Eu não sei/não quero responder,NA,,1,2,2,35,2,2,1,5,1,4,1,3,1,2,1,2,1,1,3,2,1,2,4,1,3,2,3,4,2,3,NA,4,2,2,3,4,2,2,2,2,NA,3,5,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,1,2,1,,3,-oth-,Minha organizaÃ§Ã£o Ã© vinculada ao MinistÃ©rio de,1,3,"Minha organizaÃ§Ã£o nÃ£o Ã© um Ã³rgÃ£o, Ã©",0,#NU,0,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,4,1279,,NA,Eu não sei/não quero responder,NA,,0,4,3,44,2,3,2,4,2,3,1,2,4,1,4,3,3,2,3,5,3,2,2,2,3,4,2,3,2,2,5,3,4,3,4,2,NA,2,4,4,4,4,4,5,5,5,5,5,1,2,5,5,1,1,2,1,4,3,4,4,3,4,5,2,2,4,4,4,3,#NULO,Cargo comissionado,3,-oth-,Camara dos Deputados,0,1,Camara dos Deputados,1,2,1,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,5,1937,,NA,Eu não sei/não quero responder,NA,,0,NA,5,62,2,1,2,5,4,3,1,2,1,2,3,4,5,4,4,1,1,1,2,1,1,1,1,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,1,4,4,1,1,3,1,1,5,1,1,1,1,1,1,1,4,1,3,1,1,5,NA,,NA,NA,,1,NA,Nao quero respondeer,1,2,0,4,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,6,2558,,NA,Eu não sei/não quero responder,NA,,0,1,3,48,2,4,4,4,4,3,1,3,3,3,3,3,3,4,3,4,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,,2,NA,,NA,NA,Eu nÃ£o sei/Eu nÃ£o quero responder,0,#NU,0,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,7,2560,,NA,Eu não sei/não quero responder,NA,,0,2,2,39,3,3,4,5,3,4,1,4,1,3,4,4,3,3,2,3,3,3,4,2,1,2,4,3,1,3,4,2,1,2,3,3,4,2,3,3,3,2,3,3,2,3,3,1,1,1,1,1,4,1,1,2,5,5,5,4,3,3,3,5,3,2,3,2,2,1,,3,-oth-,Agencia reguladora,1,2,AgÃªncia reguladora,1,1,0,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,8,3476,,NA,Eu não sei/não quero responder,NA,,0,2,5,66,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,-oth-,xxxxxxx,NA,NA,xxxxxxxxxxxxxxxxxxxxxxxx,0,#NU,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,9,3578,,NA,Eu não sei/não quero responder,NA,,1,2,3,42,5,4,3,5,4,3,1,3,3,2,4,3,3,4,3,5,1,2,4,1,2,3,4,4,1,3,4,4,3,2,2,4,4,3,4,3,NA,4,3,4,3,5,5,3,2,NA,2,5,4,5,3,4,4,3,4,3,4,4,4,4,4,3,4,3,3,1,,3,-oth-,AgÃªncia independente,1,2,AgÃªncia reguladora,0,#NU,0,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,10,3626,,NA,Eu não sei/não quero responder,NA,,1,4,1,27,3,4,3,3,3,4,NA,3,4,2,2,3,2,4,2,4,2,2,4,4,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,1,NA,,NA,NA,,NA,NA,aaaa,0,#NU,0,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,11,3662,,NA,Eu não sei/não quero responder,NA,,1,2,2,33,2,4,2,4,3,4,1,4,2,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,NA,NA,,0,NA,NAO TRABALHO,0,#NU,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,12,4366,,NA,Eu não sei/não quero responder,NA,,0,2,2,33,2,2,2,4,4,3,1,4,1,3,4,4,4,4,4,4,1,1,3,1,NA,NA,2,1,2,3,4,2,3,4,4,3,3,4,4,4,3,3,2,4,4,1,1,1,1,1,2,2,2,1,2,3,4,4,3,3,4,4,4,4,2,2,4,4,1,NA,,3,NA,,0,NA,Prefiro nÃ£o responder,0,#NU,0,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,13,4573,,NA,Eu não sei/não quero responder,NA,,0,4,2,35,3,4,4,3,4,4,2,2,4,3,3,5,3,4,2,5,3,2,3,3,4,4,5,5,1,3,3,3,1,1,1,4,4,2,3,3,3,2,4,3,3,4,4,3,1,1,2,1,4,3,1,1,3,3,3,3,3,3,3,5,3,2,2,3,3,1,,3,NA,,1,NA,NÃ£o desejo responder.,0,#NU,0,4,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,14,4637,,NA,Eu não sei/não quero responder,NA,,0,2,2,36,3,2,2,5,4,4,1,4,1,3,2,4,4,4,1,4,3,3,3,1,3,4,4,4,1,4,4,4,1,1,4,2,4,1,2,1,3,2,3,2,2,4,2,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,4,4,2,2,3,3,1,,3,NA,,0,1,administracao direta,1,2,0,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,15,4645,,NA,Eu não sei/não quero responder,NA,,1,5,1,27,3,4,NA,5,4,4,1,4,2,2,3,3,2,3,2,4,3,2,3,2,2,3,NA,NA,2,4,NA,3,NA,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,NA,4,1,2,1,1,NA,3,2,3,3,3,3,2,NA,NA,2,2,3,NA,2,,4,NA,,0,NA,Exerci apenas trabalho temporÃ¡riono Instit,0,#NU,0,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,16,4655,,NA,Eu não sei/não quero responder,NA,,1,2,2,37,5,4,4,5,3,4,1,4,1,2,3,3,2,3,NA,2,2,NA,4,1,2,4,NA,4,3,2,NA,3,NA,4,5,NA,4,1,4,3,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,NA,NA,4,4,3,1,1,,3,-oth-,MunicÃ­pio - Poder Legislativo,0,1,Poder Legislativo Municipal,0,#NU,0,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
